Dataset,Model,FeatureSet,Accuracy,Macro_F1,FPR,Latency_ms,ModelSize_MB
OTIDS,XGBoost,Basic,87.9923%,56.2686%,12.8036%,0.382,0.5417
OTIDS,LightGBM,Basic,88.9404%,64.2521%,10.4034%,1.186,0.6011
OTIDS,RandomForest,Basic,87.6322%,54.4405%,13.2490%,1.872,1.5301
OTIDS,GCNIDS,Basic,82.3962%,54.3648%,11.2650%,11.280,0.0033
OTIDS,MosaicCNN,Basic,79.4073%,38.5910%,15.7168%,1.480,0.7370
OTIDS,XGBoost,Advanced,87.4272%,54.8457%,13.2979%,0.387,0.6934
OTIDS,LightGBM,Advanced,89.5582%,66.3019%,10.5303%,1.181,0.6814
OTIDS,RandomForest,Advanced,86.7896%,50.3871%,14.1487%,2.102,2.1906
OTIDS,GCNIDS,Advanced,83.9139%,60.7933%,9.1778%,10.937,0.0033
OTIDS,MosaicCNN,Advanced,79.4453%,38.6627%,15.7565%,1.524,0.7370
HCRL,XGBoost,Basic,99.9966%,99.9904%,0.0038%,0.401,0.4593
HCRL,LightGBM,Basic,99.9996%,99.9988%,0.0004%,1.252,0.9055
HCRL,RandomForest,Basic,99.9725%,99.9235%,0.0334%,1.726,0.7034
HCRL,GCNIDS,Basic,66.8967%,56.9251%,0.0184%,10.115,0.0033
HCRL,MosaicCNN,Basic,68.0626%,57.7610%,0.1726%,1.508,0.7375
HCRL,XGBoost,Advanced,99.9280%,99.8312%,0.0845%,0.422,0.6164
HCRL,LightGBM,Advanced,99.9959%,99.9903%,0.0039%,0.923,0.8525
HCRL,RandomForest,Advanced,99.9687%,99.9265%,0.0369%,1.745,1.1600
HCRL,GCNIDS,Advanced,66.7275%,56.7959%,0.0084%,10.308,0.0033
HCRL,MosaicCNN,Advanced,66.8304%,53.5868%,0.6713%,1.498,0.7375
